date_registered,gender,birthdate,current_location,employer,job,age,salary,credit_card_provider
2021-06-01,F,1973-03-26,"[-5.1, 95.0]","Jacobs, Manning and Welch",Other,30-39,30k-60k,JCB 16 digit
2021-09-24,M,1953-12-30,"[-32.9, -127.6]","Chapman, Rose and Walker",Other,20-29,120k-150k,Diners Club / Carte Blanche
2020-07-31,M,1942-04-27,"[-30.6, 125.0]",Daniel-Rodriguez,Other,<20,30k-60k,Maestro
2022-02-18,F,2004-07-17,"[-22.7, -44.0]",Phelps LLC,Other,60+,150k+,Mastercard
2020-09-18,F,1960-12-25,"[-40.1, -34.0]","Rodriguez, Fischer and Fernandez",Other,20-29,150k+,JCB 16 digit
2021-05-07,M,1952-04-18,"[41.1, -83.2]","Bailey, Stevenson and Johnson",Other,40-49,30k-60k,VISA 16 digit
2022-02-18,F,1984-11-11,"[-33.8, -156.4]",Villegas Ltd,Other,40-49,<30k,VISA 16 digit
2019-10-17,M,1997-04-29,"[-9.8, -176.6]","Dawson, Davis and King",Other,40-49,<30k,Mastercard
2021-09-30,M,1972-03-25,"[-39.1, 126.0]",Carter-Gray,Other,60+,90k-120k,JCB 16 digit
2020-09-30,M,1985-03-14,"[-15.8, 167.9]",King Group,Other,60+,120k-150k,American Express
2020-03-20,F,1929-07-30,"[-83.8, 130.1]","Hill, West and Watson",Other,40-49,150k+,VISA 16 digit
2022-04-01,M,1927-11-20,"[-70.2, -164.2]",Hicks-Hendricks,Other,20-29,30k-60k,Mastercard
2021-01-20,F,2016-10-31,"[16.4, -79.1]",Gibson PLC,Other,30-39,60k-90k,VISA 16 digit
2022-03-31,M,1983-10-15,"[-43.5, -168.0]","Mason, Nixon and Meyer",Other,60+,60k-90k,JCB 15 digit
2019-07-29,M,1943-11-10,"[-58.0, 77.7]",Harris-Jackson,Other,50-59,150k+,JCB 16 digit
2021-09-03,M,1973-05-21,"[0.0, -136.1]",Rojas-Christian,Other,50-59,<30k,VISA 19 digit
2022-01-31,M,1941-08-20,"[21.3, 146.2]",Gonzalez and Sons,Other,40-49,30k-60k,Diners Club / Carte Blanche
2020-04-11,F,1996-07-29,"[-64.7, -1.3]",Clay PLC,Other,40-49,<30k,American Express
2021-03-02,F,2018-11-11,"[-9.6, -87.0]",Walters-Knight,Other,40-49,30k-60k,VISA 16 digit
2020-05-19,F,2011-01-30,"[69.0, 146.1]",Mayer-Hurley,Other,40-49,90k-120k,American Express
2019-12-13,F,1995-10-23,"[-17.9, -73.7]",House-Dean,Other,40-49,150k+,JCB 15 digit
2021-06-29,F,2021-03-06,"[-70.2, 40.1]",Thompson Group,Other,30-39,60k-90k,VISA 13 digit
2021-07-28,M,1930-10-06,"[43.6, -52.3]",Nguyen-Johnson,Other,50-59,<30k,American Express
2019-12-19,M,1963-12-08,"[-14.6, 85.0]",Berry Inc,Other,30-39,60k-90k,Diners Club / Carte Blanche
2019-09-05,F,2018-06-03,"[-67.6, -94.4]",Arnold-Mcgee,Other,40-49,60k-90k,JCB 16 digit
2021-05-15,F,1967-02-18,"[-18.0, 97.0]","Nguyen, Allen and Mclaughlin",Other,40-49,150k+,Diners Club / Carte Blanche
2020-09-10,F,1989-09-15,"[54.6, -36.2]","Jackson, Padilla and Santiago",Other,50-59,150k+,Discover
2021-08-12,F,1907-08-28,"[8.3, 106.8]",Kim-Wilson,Other,40-49,150k+,VISA 13 digit
2021-10-06,M,1953-06-08,"[36.5, 168.9]","Mccarthy, Jackson and Shepherd",Other,60+,90k-120k,Mastercard
2022-01-21,M,1941-07-01,"[-19.5, -40.0]",Carlson-Pittman,Other,60+,150k+,Maestro
2021-01-28,M,1919-12-23,"[60.6, 16.1]","Reyes, Johnson and Cooper",Other,20-29,120k-150k,Discover
2019-09-27,M,1926-01-19,"[-75.2, -103.4]",Bates-Trujillo,Other,30-39,150k+,Mastercard
2022-04-09,M,1970-01-17,"[76.4, 83.7]","Vaughn, Rogers and Johnston",Other,20-29,120k-150k,Diners Club / Carte Blanche
2022-06-16,F,1925-05-06,"[70.8, -3.6]",Hall-Hansen,Other,50-59,60k-90k,American Express
2022-01-11,F,2010-06-22,"[-42.7, 93.4]",Mccann LLC,Other,20-29,150k+,VISA 19 digit
2020-09-16,M,1922-08-26,"[84.5, 138.1]",Newman-Fischer,Other,20-29,30k-60k,Mastercard
2021-10-29,M,1925-02-01,"[-12.5, -163.1]","Collins, Martin and Walker",Other,30-39,150k+,VISA 13 digit
2021-02-04,M,1916-05-21,"[-52.3, -45.0]",Barnes LLC,Professional,30-39,150k+,Discover
2021-07-18,F,2020-08-05,"[-44.8, 96.2]","King, Mason and Allen",Other,50-59,30k-60k,Diners Club / Carte Blanche
2020-02-27,M,1907-02-25,"[-16.4, -100.0]",Cain and Sons,Other,30-39,30k-60k,American Express
2019-11-13,M,1995-02-03,"[76.4, 24.8]","Bullock, Davis and Nelson",Other,20-29,150k+,JCB 16 digit
2019-07-17,M,2011-04-14,"[22.4, 168.0]","Webster, Phillips and Watson",Other,50-59,150k+,Diners Club / Carte Blanche
2020-02-01,M,1924-08-26,"[-53.6, 86.5]",Lambert PLC,Other,20-29,150k+,Mastercard
2020-04-28,M,1927-11-20,"[8.2, -91.3]",Martinez-Stone,Other,30-39,30k-60k,Discover
2021-05-16,F,1925-11-03,"[37.4, 124.0]",Lane-Gardner,Other,30-39,60k-90k,JCB 16 digit
2019-08-02,F,2011-02-20,"[-72.3, 14.4]","Simpson, Rodriguez and Gutierrez",Other,20-29,150k+,JCB 16 digit
2020-06-14,M,1921-12-26,"[43.0, 105.0]",Farmer-Hogan,Other,50-59,150k+,JCB 16 digit
2021-07-14,M,1922-01-15,"[-33.2, -24.1]",Donaldson and Sons,Other,<20,90k-120k,VISA 16 digit
2020-10-26,F,1906-10-08,"[33.7, -146.3]",Moore-Ramirez,Other,40-49,150k+,JCB 15 digit
2019-07-06,M,1911-09-03,"[-10.1, 172.3]",Jones PLC,Other,50-59,120k-150k,Discover
2020-06-07,M,1923-02-06,"[-17.9, -140.6]",Benson-Logan,Other,60+,120k-150k,American Express
2020-10-24,F,1915-05-19,"[69.9, 2.3]",Smith Inc,Other,20-29,150k+,VISA 13 digit
2022-01-17,M,1961-01-03,"[-31.3, 126.2]",Black Inc,Other,30-39,150k+,Discover
2021-12-13,M,1927-07-21,"[-35.9, 44.1]",Pearson PLC,Other,40-49,90k-120k,JCB 16 digit
2022-05-26,M,1935-10-25,"[35.7, -119.6]","Sanchez, Williams and Sanders",Other,40-49,150k+,VISA 16 digit
2021-04-08,F,1998-07-31,"[-40.8, -146.4]","Shields, Odom and Mcmillan",Other,50-59,60k-90k,American Express
2022-04-26,M,1932-11-11,"[-29.8, 117.7]",Russell-Aguirre,Other,50-59,30k-60k,Maestro
2021-07-24,M,1968-07-23,"[-24.4, -154.1]",Lopez PLC,Other,40-49,90k-120k,VISA 16 digit
2019-09-15,F,1997-01-12,"[-56.5, 145.1]",Watson Ltd,Other,40-49,150k+,VISA 16 digit
2021-06-11,M,1984-05-01,"[-4.3, -145.1]","Lyons, Chapman and Baker",Other,30-39,30k-60k,Mastercard
2020-01-25,M,1989-07-31,"[-50.0, 23.8]",Coleman PLC,Other,50-59,60k-90k,VISA 16 digit
2019-07-07,M,1962-11-15,"[81.5, 43.6]",Carlson Ltd,Professional,60+,150k+,VISA 16 digit
2019-10-27,F,1966-09-10,"[-36.0, -179.1]",Nicholson and Sons,Other,30-39,30k-60k,Maestro
2019-07-30,M,1983-03-01,"[53.6, -146.4]",Lutz Group,Other,50-59,90k-120k,VISA 16 digit
2019-11-01,M,1954-06-24,"[-67.5, 45.6]",James-Ramirez,Other,40-49,150k+,Diners Club / Carte Blanche
2020-06-10,F,1977-03-01,"[3.9, 117.9]",Roberts LLC,Other,<20,120k-150k,JCB 15 digit
2021-03-07,F,1955-06-24,"[21.2, 142.1]","Coleman, Harding and Cain",Other,20-29,150k+,JCB 15 digit
2019-11-26,M,1916-10-10,"[85.4, -45.0]",Marshall-Ross,Other,20-29,150k+,JCB 16 digit
2021-05-23,M,1907-09-08,"[-58.8, 121.0]",Hartman-Paul,Other,50-59,150k+,VISA 13 digit
2021-08-17,M,1993-12-06,"[37.7, 79.1]","Brandt, Caldwell and Morton",Other,50-59,60k-90k,Discover
2022-04-01,M,1977-06-19,"[41.4, 84.6]",Wilcox-Benton,Other,50-59,60k-90k,VISA 16 digit
2019-07-03,M,1927-10-25,"[52.2, -16.9]","Stevenson, Chang and Johnson",Other,30-39,90k-120k,VISA 16 digit
2021-05-25,F,2011-11-10,"[27.8, 38.6]","Walters, Fritz and Richardson",Other,<20,150k+,Discover
2021-11-19,M,1935-03-03,"[37.7, -75.4]","Crawford, Walker and Valdez",Other,30-39,90k-120k,VISA 16 digit
2020-02-10,M,1951-04-20,"[35.5, 91.4]",King-Norton,Other,40-49,30k-60k,Discover
2021-07-12,M,1992-09-27,"[29.6, -176.2]",Young-Parrish,Other,50-59,90k-120k,Discover
2020-07-07,M,1970-08-28,"[26.5, 43.7]",Miller Inc,Other,20-29,60k-90k,JCB 16 digit
2021-09-29,M,1962-07-25,"[-39.0, -137.2]",Williams-Johnson,Other,40-49,90k-120k,JCB 16 digit
2021-09-25,F,1972-01-18,"[-3.5, 83.5]",Rogers Inc,Other,30-39,90k-120k,Discover
2021-03-29,F,2006-10-26,"[65.5, -60.2]",Santos LLC,Other,40-49,150k+,VISA 16 digit
2021-10-10,F,2000-02-09,"[88.0, 166.3]",Mercado Group,Other,20-29,30k-60k,Maestro
2022-04-04,F,1994-05-06,"[6.3, 119.1]",Bradley-Harris,Other,50-59,150k+,VISA 19 digit
2021-08-12,M,2007-03-07,"[-72.6, -86.0]",Adkins-Valenzuela,Other,40-49,150k+,JCB 15 digit
2020-07-26,M,1909-11-13,"[41.3, 111.5]","Vega, Williamson and Cox",Other,50-59,90k-120k,Diners Club / Carte Blanche
2020-10-28,F,1950-05-28,"[64.4, 84.2]","Johnson, Johnson and Rojas",Other,40-49,120k-150k,Diners Club / Carte Blanche
2020-09-23,F,1917-01-21,"[-76.0, -50.8]","Jones, Woods and Marquez",Other,60+,150k+,VISA 16 digit
2020-03-02,M,1970-04-10,"[-63.7, -118.9]","Robinson, Chang and Taylor",Other,20-29,120k-150k,Maestro
2022-06-19,F,1934-02-02,"[69.1, -70.0]",Briggs-Johnson,Other,20-29,150k+,American Express
2021-04-10,M,1914-06-30,"[59.6, 165.7]",Wall LLC,Other,30-39,60k-90k,American Express
2019-12-17,F,1913-04-04,"[72.0, 65.6]",Munoz and Sons,Other,30-39,<30k,JCB 16 digit
2021-09-07,F,1916-04-27,"[69.1, 132.3]",Gray-Knox,Other,60+,60k-90k,JCB 15 digit
2022-04-26,M,1987-07-24,"[50.6, -67.0]","Barnes, Green and Hubbard",Other,40-49,60k-90k,JCB 15 digit
2021-11-21,F,1944-06-05,"[11.9, 150.3]",Garcia Group,Other,60+,30k-60k,JCB 16 digit
2019-07-26,M,1938-10-13,"[52.5, -85.7]",Webster-Williams,Other,30-39,60k-90k,VISA 13 digit
2021-12-13,M,1946-03-26,"[77.6, -37.5]","Parker, Patel and Hodge",Other,50-59,30k-60k,Mastercard
2021-06-06,F,1924-08-19,"[78.0, 29.1]",Young-Sloan,Other,20-29,150k+,Maestro
2020-12-26,F,1962-06-14,"[-55.3, 1.3]","Ford, Terry and Hernandez",Other,30-39,150k+,Mastercard
2020-04-11,M,1917-11-13,"[-0.2, -62.0]",Garcia PLC,Other,50-59,120k-150k,VISA 16 digit
2021-08-21,M,1953-02-24,"[16.8, -156.2]","Duncan, Bradley and Owens",Other,30-39,150k+,VISA 19 digit
2022-02-02,M,1967-11-12,"[22.4, 121.6]","Mitchell, Alvarez and Bartlett",Other,40-49,150k+,VISA 13 digit
2022-03-03,F,1994-10-12,"[7.5, 60.1]","Mathews, Rodriguez and Schneider",Other,40-49,150k+,JCB 16 digit
2021-01-21,M,2018-12-18,"[-88.0, 122.3]",Hernandez LLC,Other,20-29,150k+,VISA 13 digit
2021-08-22,M,1983-07-06,"[-87.4, -144.6]",Houston-Mason,Other,30-39,150k+,Mastercard
2020-01-13,F,2011-03-21,"[52.8, -12.6]",Waller-Daniels,Other,30-39,150k+,JCB 15 digit
2021-04-22,F,1933-10-18,"[50.6, 173.9]",Jackson-Ellis,Other,30-39,150k+,JCB 16 digit
2020-12-07,M,1935-11-23,"[-11.9, -34.1]","Parsons, Elliott and Castillo",Other,40-49,120k-150k,VISA 16 digit
2021-08-18,M,1973-06-24,"[89.2, -25.9]",Martinez-Zimmerman,Other,60+,90k-120k,VISA 16 digit
2020-01-22,M,1928-11-15,"[-30.9, -69.0]",Herrera LLC,Other,20-29,150k+,American Express
2022-01-18,M,1963-04-12,"[-74.0, -131.5]",Brown-Kerr,Other,30-39,<30k,JCB 16 digit
2021-10-29,M,1936-06-25,"[-3.9, 159.1]",Mcbride LLC,Other,20-29,150k+,VISA 19 digit
2021-07-01,M,2019-10-02,"[-6.8, -24.7]","Wheeler, Robertson and Reid",Other,40-49,150k+,American Express
2021-09-18,F,1972-07-21,"[36.8, -155.3]","Lane, Santos and Harrison",Other,50-59,120k-150k,Maestro
2019-11-02,F,1990-05-08,"[88.0, 37.4]",Mills-Taylor,Other,40-49,90k-120k,JCB 16 digit
2021-03-25,M,1996-05-01,"[44.6, -64.6]","Bowman, Ford and Sullivan",Other,30-39,150k+,JCB 16 digit
2020-03-08,F,1952-06-14,"[18.9, 65.3]","Romero, Lindsey and Hernandez",Other,20-29,90k-120k,VISA 16 digit
2022-05-16,F,1997-10-26,"[88.6, 4.2]",Pineda Inc,Other,50-59,60k-90k,JCB 16 digit
2020-06-09,M,1947-06-26,"[-76.3, -89.5]",Moon PLC,Other,40-49,120k-150k,American Express
2020-11-17,F,1940-12-30,"[5.1, 32.7]",Davis-Foster,Other,40-49,60k-90k,JCB 16 digit
2020-08-14,M,1921-10-30,"[78.9, 170.1]",Ibarra PLC,Other,50-59,150k+,Diners Club / Carte Blanche
2021-11-03,F,1926-09-02,"[30.9, -168.3]",Warner Inc,Other,20-29,<30k,JCB 16 digit
2021-08-14,M,2018-05-01,"[-30.0, 73.5]",Vazquez and Sons,Other,30-39,30k-60k,Diners Club / Carte Blanche
2021-10-16,M,1927-07-30,"[51.6, -36.8]","Meyer, Tate and Johnson",Other,40-49,60k-90k,Diners Club / Carte Blanche
2019-11-27,M,2010-09-15,"[11.3, -117.6]",Schwartz and Sons,Other,40-49,120k-150k,VISA 16 digit
2020-09-11,F,1906-07-07,"[36.7, -47.9]",Gonzalez Ltd,Other,40-49,150k+,Mastercard
2022-03-02,F,1990-05-01,"[-52.4, -1.8]","Griffith, Smith and Petty",Other,50-59,60k-90k,American Express
2021-10-11,M,1978-05-29,"[-85.4, 160.1]",Gay Group,Other,50-59,60k-90k,Mastercard
2021-12-01,M,2018-01-12,"[-16.1, -131.1]",Grimes Inc,Other,60+,150k+,Maestro
2021-10-19,F,2003-04-02,"[1.0, -168.4]",Campbell Inc,Other,20-29,150k+,JCB 15 digit
2020-05-25,F,1981-02-08,"[-29.9, -86.7]",Willis-Nguyen,Professional,20-29,150k+,Mastercard
2021-01-23,F,1924-12-25,"[-77.7, 110.2]",Burton LLC,Other,50-59,<30k,Mastercard
2020-09-23,F,1918-08-14,"[81.0, -172.2]",Sheppard-Morgan,Other,30-39,60k-90k,JCB 16 digit
2020-08-28,M,1966-12-03,"[-4.4, 13.3]",Page-Vasquez,Other,30-39,150k+,JCB 15 digit
2019-12-31,M,2009-03-16,"[15.0, -72.1]",Clark-Hawkins,Other,40-49,60k-90k,VISA 13 digit
2019-09-21,F,2016-01-09,"[-53.9, 45.1]","Roberts, Flores and Quinn",Other,20-29,30k-60k,Diners Club / Carte Blanche
2022-02-02,F,1987-03-08,"[30.8, -167.1]",Murphy and Sons,Other,40-49,150k+,VISA 19 digit
2020-09-07,M,2005-11-27,"[-73.6, -130.3]","Ryan, Castillo and Martinez",Other,60+,150k+,JCB 15 digit
2020-07-03,M,1987-03-28,"[-70.3, -160.6]","Robbins, Moore and Henderson",Other,30-39,150k+,VISA 13 digit
2021-12-24,F,1914-04-01,"[88.4, 56.7]","Marshall, Jenkins and Bridges",Other,40-49,120k-150k,Mastercard
2021-08-18,M,1942-08-12,"[72.6, 40.4]","Castaneda, Little and Powell",Other,40-49,90k-120k,VISA 16 digit
2021-05-21,M,1934-08-20,"[12.7, -5.9]","Davis, Brown and King",Other,20-29,90k-120k,VISA 19 digit
2020-05-23,F,1984-03-05,"[74.7, -111.5]","Martinez, Peterson and Stevens",Other,60+,60k-90k,JCB 16 digit
2021-11-17,F,1939-12-01,"[-27.0, 64.4]","Harrison, Nelson and Moyer",Other,30-39,150k+,JCB 15 digit
2021-10-24,F,2020-07-29,"[-21.5, -177.7]","Farmer, Carter and Fisher",Other,20-29,90k-120k,VISA 16 digit
2022-03-09,M,1985-10-28,"[23.0, -136.1]","Cox, Bailey and Ortiz",Other,20-29,150k+,VISA 13 digit
2020-03-12,M,1956-12-27,"[89.7, -16.3]","Phillips, Hernandez and Cox",Other,20-29,150k+,VISA 19 digit
2021-02-25,F,1910-04-06,"[-33.6, 54.0]",Wilson-Duncan,Other,40-49,<30k,VISA 19 digit
2021-10-19,F,1914-10-31,"[-0.7, 55.6]",Sandoval-Cruz,Other,50-59,120k-150k,VISA 16 digit
2022-06-06,F,2012-05-16,"[-23.0, -89.5]",Gutierrez-Gonzalez,Other,20-29,150k+,VISA 16 digit
2021-01-03,M,1934-08-13,"[30.1, 147.0]",Harrison and Sons,Other,20-29,150k+,JCB 16 digit
2022-04-08,M,1907-09-13,"[-70.4, 46.5]","Reyes, Blair and Dean",Other,30-39,30k-60k,VISA 13 digit
2020-03-23,M,1980-01-09,"[-39.4, 4.4]",Thompson-Turner,Other,50-59,150k+,VISA 19 digit
2021-10-16,M,1998-01-30,"[-78.4, 32.4]",Holt-Jones,Other,40-49,30k-60k,VISA 16 digit
2021-08-26,M,1934-12-16,"[52.9, -179.7]",Mcdonald and Sons,Other,20-29,90k-120k,JCB 16 digit
2021-06-10,F,1929-01-30,"[83.8, 160.0]",Cox LLC,Other,30-39,90k-120k,VISA 16 digit
2019-12-26,F,1949-09-20,"[-76.5, 147.2]",Hampton and Sons,Other,20-29,60k-90k,Maestro
2021-10-22,F,1986-02-03,"[-28.1, 84.9]","Alvarez, Ray and Hernandez",Professional,60+,60k-90k,Maestro
2019-12-29,M,1915-05-18,"[0.8, 81.1]",Williams-Gilbert,Other,40-49,150k+,Maestro
2022-04-11,M,1962-06-12,"[-74.0, -15.2]",Evans-Soto,Other,40-49,150k+,JCB 16 digit
2021-03-02,M,1906-08-16,"[87.8, 23.4]",Reyes-Russell,Other,50-59,30k-60k,JCB 16 digit
2022-05-01,M,1939-02-16,"[-0.8, 13.1]",Carroll-Johnson,Other,<20,150k+,JCB 16 digit
2021-10-21,M,1929-09-17,"[-45.0, 87.6]",Pierce and Sons,Other,40-49,120k-150k,JCB 15 digit
2022-02-22,F,1943-09-22,"[-84.5, -53.8]",Lamb LLC,Other,50-59,90k-120k,VISA 13 digit
2020-11-26,F,1916-01-25,"[-27.5, 16.7]","Bell, Young and Maxwell",Other,30-39,150k+,Diners Club / Carte Blanche
2020-10-15,M,2002-09-11,"[-79.0, 91.7]",Howard Group,Other,50-59,30k-60k,JCB 15 digit
2020-02-22,M,1907-03-21,"[33.4, -115.2]",Sullivan-Anderson,Other,40-49,150k+,VISA 13 digit
2021-02-23,M,2020-11-09,"[-64.9, 69.0]",Cook-Turner,Other,50-59,150k+,VISA 16 digit
2021-04-12,M,2007-04-26,"[68.1, -78.4]","Pacheco, Nguyen and Berry",Other,40-49,120k-150k,Discover
2021-05-24,M,1951-04-17,"[-13.1, -1.1]",Conner PLC,Other,20-29,150k+,VISA 19 digit
2021-08-15,M,1947-03-29,"[11.6, 86.0]",Webb-Gomez,Other,30-39,120k-150k,JCB 15 digit
2020-03-02,F,1956-09-01,"[41.5, -56.8]",Cortez Group,Other,20-29,30k-60k,VISA 19 digit
2022-05-02,M,1973-05-18,"[53.7, 39.5]",Carson Ltd,Other,50-59,120k-150k,Mastercard
2022-02-19,M,1942-11-30,"[-65.2, 61.1]","Ford, Carr and Washington",Other,50-59,60k-90k,Maestro
2021-10-17,F,2006-01-03,"[-1.4, -90.6]","Stewart, Stone and Mendoza",Other,20-29,150k+,JCB 16 digit
2020-04-28,M,1988-08-26,"[-30.5, 173.6]",Barton-Hamilton,Other,40-49,90k-120k,VISA 13 digit
2020-12-26,F,1948-02-14,"[73.7, 118.3]",Thomas-Jones,Other,60+,30k-60k,JCB 16 digit
2021-08-14,F,1963-09-14,"[14.3, -87.6]",Daniel-Larson,Other,20-29,30k-60k,VISA 13 digit
2020-09-03,F,2009-05-17,"[-38.9, -6.1]",Webster LLC,Other,20-29,60k-90k,VISA 19 digit
2020-07-14,M,1949-04-27,"[67.5, 117.9]",Ferguson-Dillon,Other,50-59,150k+,Diners Club / Carte Blanche
2020-10-23,M,1937-09-11,"[-72.5, 59.9]","Ryan, Bishop and Garza",Other,<20,30k-60k,VISA 13 digit
2021-02-08,F,1906-10-04,"[58.2, 137.0]",Robertson PLC,Other,50-59,90k-120k,VISA 19 digit
2019-08-27,F,1954-04-23,"[-18.6, -153.2]",Hicks Inc,Other,40-49,150k+,Maestro
2021-07-22,F,1925-03-22,"[13.8, 108.5]",Acevedo-Henson,Professional,40-49,60k-90k,VISA 19 digit
2020-12-28,F,2003-04-10,"[33.7, 62.4]",Wagner Inc,Other,50-59,90k-120k,VISA 19 digit
2020-06-14,M,1981-03-07,"[-9.0, 93.3]","Page, Mendez and Baxter",Other,60+,150k+,VISA 19 digit
2020-08-19,M,1985-11-01,"[-15.7, -167.7]",Delgado Ltd,Other,30-39,30k-60k,Discover
2019-12-07,F,1978-07-07,"[89.7, -105.2]","Hernandez, Green and Miller",Other,40-49,30k-60k,Maestro
2022-05-19,F,1989-09-29,"[3.6, 102.4]","Maldonado, Snyder and Collins",Other,40-49,90k-120k,VISA 19 digit
2022-04-25,F,1975-08-15,"[-64.0, -118.5]",Mcdonald-Wilson,Professional,50-59,<30k,Mastercard
2019-08-30,F,1988-11-22,"[-33.5, 48.9]",Charles Inc,Other,20-29,120k-150k,VISA 16 digit
2020-06-15,M,1933-10-13,"[44.3, -50.6]",Zamora-Smith,Other,50-59,90k-120k,VISA 16 digit
2021-10-29,M,2020-04-08,"[8.0, -3.0]",Hall LLC,Other,50-59,60k-90k,Maestro
2020-03-26,M,1984-08-02,"[72.9, 165.8]",Stewart-Taylor,Other,30-39,150k+,Mastercard
2020-08-10,F,1989-08-10,"[23.0, -153.2]",Price LLC,Other,50-59,150k+,Mastercard
2021-11-28,F,2014-09-07,"[2.9, 143.3]",Brown Inc,Other,50-59,90k-120k,American Express
2020-02-06,M,1912-11-01,"[69.1, 81.1]",Kirk LLC,Other,30-39,90k-120k,VISA 16 digit
2019-12-04,M,2001-12-03,"[-3.3, -75.7]","Hoffman, Gonzales and Poole",Other,50-59,150k+,VISA 16 digit
2019-10-07,M,1976-05-27,"[9.0, 159.6]",Dixon-Anderson,Other,30-39,150k+,VISA 19 digit
2021-10-13,F,1928-12-17,"[-26.5, 12.7]",Hill LLC,Other,30-39,60k-90k,JCB 16 digit
2019-12-31,F,2003-09-09,"[-65.1, -41.6]",Mendoza PLC,Other,40-49,60k-90k,Discover
2020-11-24,F,1959-09-24,"[-32.8, -167.2]",Davis and Sons,Other,30-39,120k-150k,JCB 16 digit
2022-02-20,M,1997-10-26,"[6.2, 59.7]",Walker-Middleton,Other,20-29,60k-90k,JCB 16 digit
2021-12-06,F,1920-07-15,"[-77.8, -57.2]",Johnson-Long,Other,40-49,90k-120k,Discover
2022-01-31,F,1983-09-28,"[68.2, -69.1]","Schaefer, Mccann and Douglas",Other,20-29,150k+,VISA 19 digit
